"computer_id","activity_type","affected_user_id","timestamp"
"C26","LOGIN_FAILURE","U12",2024-12-01 18:08:58.000
"C22","FILE_DOWNLOAD","U81",2024-12-01 22:46:13.000
"C39","UNAUTHORIZED_ACCESS","U37",2024-12-01 16:05:39.000
"C2","LOGIN_FAILURE","U38",2024-12-01 01:52:44.000
"C38","LOGIN_FAILURE","U15",2024-12-01 07:24:40.000
"C39","LOGIN_FAILURE","U7",2024-12-01 09:43:23.000
"C26","LOGIN_FAILURE","U78",2024-12-01 19:59:47.000
"C46","LOGIN_FAILURE","U50",2024-12-01 04:46:12.000
"C50","FILE_DOWNLOAD","U65",2024-12-01 10:29:12.000
"C15","LOGIN_FAILURE","U67",2024-12-01 15:57:04.000
"C34","LOGIN_FAILURE","U44",2024-12-01 17:38:52.000
"C42","MALWARE_ALERT","U31",2024-12-01 04:25:15.000
"C44","LOGIN_FAILURE","U43",2024-12-01 01:03:03.000
"C49","LOGIN_FAILURE","U77",2024-12-01 22:56:18.000
"C40","LOGIN_FAILURE","U48",2024-12-01 22:10:06.000
"C11","FILE_DOWNLOAD","U82",2024-12-01 08:42:45.000
"C3","LOGIN_FAILURE","U81",2024-12-01 05:45:58.000
"C6","FILE_DOWNLOAD","U81",2024-12-01 11:18:50.000
"C9","LOGIN_FAILURE","U61",2024-12-01 20:03:19.000
"C6","FILE_DOWNLOAD","U75",2024-12-01 00:29:52.000
"C9","LOGIN_FAILURE","U84",2024-12-01 20:06:24.000
"C39","FILE_DOWNLOAD","U10",2024-12-01 14:51:16.000
"C31","DATA_EXFILTRATION","U29",2024-12-01 03:23:37.000
"C32","FILE_DOWNLOAD","U48",2024-12-01 08:10:51.000
"C41","LOGIN_FAILURE","U98",2024-12-01 04:07:51.000
"C50","LOGIN_FAILURE","U81",2024-12-01 16:48:02.000
"C12","LOGIN_FAILURE","U62",2024-12-01 04:16:36.000
"C8","LOGIN_FAILURE","U13",2024-12-01 23:34:56.000
"C8","LOGIN_FAILURE","U44",2024-12-01 05:36:21.000
"C50","MALWARE_ALERT","U47",2024-12-01 18:08:43.000
"C28","LOGIN_FAILURE","U64",2024-12-01 10:37:34.000
"C20","FILE_DOWNLOAD","U91",2024-12-01 18:31:38.000
"C47","FILE_DOWNLOAD","U53",2024-12-01 09:57:18.000
"C7","FILE_DOWNLOAD","U90",2024-12-01 15:07:39.000
"C11","LOGIN_FAILURE","U92",2024-12-01 17:34:02.000
"C20","DATA_EXFILTRATION","U77",2024-12-01 17:11:34.000
"C16","LOGIN_FAILURE","U76",2024-12-01 08:52:26.000
"C4","MALWARE_ALERT","U44",2024-12-01 16:37:51.000
"C6","MALWARE_ALERT","U28",2024-12-01 20:04:15.000
"C22","MALWARE_ALERT","U2",2024-12-01 05:15:58.000
"C26","FILE_DOWNLOAD","U57",2024-12-01 13:57:57.000
"C3","LOGIN_FAILURE","U57",2024-12-01 06:56:23.000
"C41","LOGIN_FAILURE","U34",2024-12-01 21:49:21.000
"C42","FILE_DOWNLOAD","U87",2024-12-01 18:30:16.000
"C14","LOGIN_FAILURE","U58",2024-12-01 04:58:12.000
"C11","DATA_EXFILTRATION","U52",2024-12-01 02:32:30.000
"C18","LOGIN_FAILURE","U29",2024-12-01 10:03:28.000
"C12","LOGIN_FAILURE","U35",2024-12-01 15:06:27.000
"C23","LOGIN_FAILURE","U75",2024-12-01 12:22:28.000
"C12","LOGIN_FAILURE","U48",2024-12-01 18:29:10.000
"C13","FILE_DOWNLOAD","U33",2024-12-01 09:43:38.000
"C25","MALWARE_ALERT","U75",2024-12-01 00:05:36.000
"C45","FILE_DOWNLOAD","U73",2024-12-01 10:17:52.000
"C19","DATA_EXFILTRATION","U78",2024-12-01 10:52:12.000
"C46","DATA_EXFILTRATION","U9",2024-12-01 21:22:11.000
"C36","DATA_EXFILTRATION","U48",2024-12-01 21:06:51.000
"C45","LOGIN_FAILURE","U67",2024-12-01 17:49:38.000
"C8","MALWARE_ALERT","U93",2024-12-01 05:24:36.000
"C29","LOGIN_FAILURE","U83",2024-12-01 16:15:29.000
"C32","LOGIN_FAILURE","U36",2024-12-01 19:36:32.000
"C44","FILE_DOWNLOAD","U96",2024-12-01 17:38:03.000
"C18","LOGIN_FAILURE","U71",2024-12-01 12:33:56.000
"C6","LOGIN_FAILURE","U92",2024-12-01 12:06:13.000
"C18","LOGIN_FAILURE","U44",2024-12-01 20:05:40.000
"C19","LOGIN_FAILURE","U82",2024-12-01 19:47:08.000
"C22","UNAUTHORIZED_ACCESS","U60",2024-12-01 13:44:01.000
"C37","LOGIN_FAILURE","U63",2024-12-01 16:34:42.000
"C32","LOGIN_FAILURE","U5",2024-12-01 11:42:56.000
"C41","FILE_DOWNLOAD","U87",2024-12-01 06:52:07.000
"C3","LOGIN_FAILURE","U86",2024-12-01 08:41:40.000
"C28","UNAUTHORIZED_ACCESS","U90",2024-12-01 20:49:06.000
"C10","LOGIN_FAILURE","U76",2024-12-01 13:56:36.000
"C35","FILE_DOWNLOAD","U40",2024-12-01 08:30:13.000
"C29","FILE_DOWNLOAD","U19",2024-12-01 14:57:21.000
"C15","UNAUTHORIZED_ACCESS","U47",2024-12-01 01:35:20.000
"C33","FILE_DOWNLOAD","U65",2024-12-01 11:35:04.000
"C7","DATA_EXFILTRATION","U67",2024-12-01 17:13:13.000
"C12","LOGIN_FAILURE","U91",2024-12-01 13:52:48.000
"C49","LOGIN_FAILURE","U18",2024-12-01 14:03:24.000
"C30","LOGIN_FAILURE","U50",2024-12-01 23:44:21.000
"C21","DATA_EXFILTRATION","U30",2024-12-01 05:32:16.000
"C31","LOGIN_FAILURE","U66",2024-12-01 18:02:03.000
"C24","LOGIN_FAILURE","U5",2024-12-01 01:20:52.000
"C20","LOGIN_FAILURE","U93",2024-12-01 04:35:47.000
"C37","LOGIN_FAILURE","U97",2024-12-01 18:17:16.000
"C4","LOGIN_FAILURE","U42",2024-12-01 21:29:16.000
"C28","UNAUTHORIZED_ACCESS","U84",2024-12-01 12:05:15.000
"C44","FILE_DOWNLOAD","U94",2024-12-01 03:39:14.000
"C20","FILE_DOWNLOAD","U5",2024-12-01 16:01:51.000
"C24","MALWARE_ALERT","U50",2024-12-01 03:37:49.000
"C50","LOGIN_FAILURE","U85",2024-12-01 19:08:57.000
"C49","LOGIN_FAILURE","U58",2024-12-01 16:38:10.000
"C32","LOGIN_FAILURE","U79",2024-12-01 00:33:31.000
"C41","LOGIN_FAILURE","U84",2024-12-01 05:14:54.000
"C36","FILE_DOWNLOAD","U8",2024-12-01 14:55:36.000
"C34","LOGIN_FAILURE","U31",2024-12-01 23:50:23.000
"C36","LOGIN_FAILURE","U12",2024-12-01 05:37:12.000
"C2","FILE_DOWNLOAD","U21",2024-12-01 02:43:27.000
"C15","UNAUTHORIZED_ACCESS","U94",2024-12-01 17:05:37.000
"C34","DATA_EXFILTRATION","U62",2024-12-01 09:38:57.000
"C36","DATA_EXFILTRATION","U91",2024-12-01 12:19:35.000
"C6","MALWARE_ALERT","U90",2024-12-01 22:41:31.000
"C39","LOGIN_FAILURE","U33",2024-12-01 14:28:18.000
"C42","MALWARE_ALERT","U26",2024-12-01 23:39:35.000
"C12","LOGIN_FAILURE","U90",2024-12-01 02:55:27.000
"C3","FILE_DOWNLOAD","U100",2024-12-01 11:57:45.000
"C45","FILE_DOWNLOAD","U40",2024-12-01 19:25:42.000
"C18","LOGIN_FAILURE","U65",2024-12-01 13:50:08.000
"C40","MALWARE_ALERT","U59",2024-12-01 11:31:45.000
"C21","UNAUTHORIZED_ACCESS","U15",2024-12-01 22:49:15.000
"C15","LOGIN_FAILURE","U1",2024-12-01 17:45:56.000
"C33","DATA_EXFILTRATION","U11",2024-12-01 19:41:52.000
"C35","LOGIN_FAILURE","U55",2024-12-01 01:18:25.000
"C26","FILE_DOWNLOAD","U2",2024-12-01 22:28:51.000
"C8","FILE_DOWNLOAD","U65",2024-12-01 02:29:28.000
"C36","FILE_DOWNLOAD","U95",2024-12-01 08:32:51.000
"C48","UNAUTHORIZED_ACCESS","U44",2024-12-01 22:58:47.000
"C30","DATA_EXFILTRATION","U16",2024-12-01 10:27:47.000
"C23","MALWARE_ALERT","U22",2024-12-01 08:16:57.000
"C42","LOGIN_FAILURE","U18",2024-12-01 03:17:26.000
"C44","UNAUTHORIZED_ACCESS","U47",2024-12-01 15:48:01.000
"C14","LOGIN_FAILURE","U81",2024-12-01 03:35:03.000
"C14","DATA_EXFILTRATION","U30",2024-12-01 23:04:26.000
"C2","LOGIN_FAILURE","U10",2024-12-01 03:39:33.000
"C37","LOGIN_FAILURE","U99",2024-12-01 16:09:13.000
